Categoria administrativa:Despesa pessoal:Receitas:Despesa interna
Privada sem fins lucrativos:13.372280465415448:12.473339641176857:12.612293168240868
Privada sem fins lucrativos:13.532911213206285:12.710720123797401:13.321987379819838
Privada sem fins lucrativos:15.77078568412557:16.341414366130444:15.083685984832664
Privada sem fins lucrativos:18.007932384291465:18.715678712580537:17.829365632818874
Privada sem fins lucrativos:18.40651907358815:19.043232454639575:18.2224338179531
Privada sem fins lucrativos:18.42512481114132:19.030916664507075:18.35410579432778
Privada sem fins lucrativos:18.494864222341135:19.028080997096545:18.385985251948075
Privada sem fins lucrativos:15.925601113214503:16.442086763533435:15.189203898655354
Privada sem fins lucrativos:15.923559352218453:16.46445251118209:15.290616666101306
Privada sem fins lucrativos:17.449177905746517:17.777379975250096:16.380110476686898
Privada sem fins lucrativos:17.458638119408942:17.817412290800938:16.39592681918394
Privada sem fins lucrativos:17.475651279140397:17.8041677029539:16.56046248287715
Privada sem fins lucrativos:17.447589152808007:17.80535003298972:16.545843204495334
Privada sem fins lucrativos:17.759951213677482:18.346765681621118:17.72918269103362
Privada sem fins lucrativos:17.750693556071887:18.3530249060946:18.073349765876586
Privada sem fins lucrativos:17.702540830770538:18.340936847463652:18.058624090558617
Privada sem fins lucrativos:17.760809738894512:18.399205754565923:18.116892995793773
Privada sem fins lucrativos:12.409842248052444:12.93913457718949:12.049919821081664
Privada sem fins lucrativos:12.486803287678107:12.924503044726205:11.887400915651636
Privada sem fins lucrativos:12.381442763628819:12.803581177345778:11.737503986222434
Privada sem fins lucrativos:12.158299201825278:12.616398753146592:11.615408945929902
Privada sem fins lucrativos:18.598344811210886:18.937623188249276:17.658685714103527
Privada sem fins lucrativos:18.629666044015707:19.094760312933886:17.664338240879545
Privada sem fins lucrativos:18.568260880531497:19.04942828034422:17.785693192526796
Privada sem fins lucrativos:18.52549806253537:18.99935078740292:17.593450320240688
Privada com fins lucrativos:15.507793826059334:15.679121147546974:14.334818897549281
Privada com fins lucrativos:15.643061749480601:15.896166888988663:14.300546213064893
Privada com fins lucrativos:15.069673403317518:15.569494256273696:15.93308240000377
Privada com fins lucrativos:17.561473694514728:18.41759447150929:17.928030244078514
Privada com fins lucrativos:17.65229905715277:18.618893834448556:18.186088801678057
Privada com fins lucrativos:17.667851694881904:18.655956302038152:18.198245016946416
Privada com fins lucrativos:17.713315770285025:18.568946772734133:18.11023647174716
Privada com fins lucrativos:18.73934994880022:19.501229824872606:18.5709189121066
Privada com fins lucrativos:18.674546699871883:19.56952461459081:18.528286872333528
Privada com fins lucrativos:18.697186421101794:19.62842917159366:18.782252081059198
Privada com fins lucrativos:18.69623220031281:19.658698510600185:18.912503666085517
Privada sem fins lucrativos:17.437846014650038:17.936933713328234:16.311163096652663
Privada com fins lucrativos:17.523355131900146:18.206409640804246:17.160775620883417
Privada com fins lucrativos:17.462680983634662:18.075725512254103:16.95049573130975
Privada com fins lucrativos:17.356336452810453:18.018348458426964:17.052989899325706
Privada sem fins lucrativos:15.813577959445032:16.954566943566025:15.520811319271193
Privada sem fins lucrativos:16.320020999922583:17.232095189684564:15.451558852648503
Privada sem fins lucrativos:16.231526876543604:17.172507962809448:15.870315587730067
Privada sem fins lucrativos:15.666807711839859:17.198085176396816:15.800585016109661
Privada com fins lucrativos:18.73660489948146:19.54849410946197:18.78615403930235
Privada com fins lucrativos:18.88942662856883:19.572329281463375:19.087324463508935
Privada com fins lucrativos:18.902901168950457:19.528081419073672:18.84228492129069
Privada com fins lucrativos:18.690254518870283:19.50219039606661:18.639758738077337
Privada com fins lucrativos:17.50813113110748:18.561810628528683:17.778132781664862
Privada com fins lucrativos:17.59698460619692:18.715053203220965:17.77525114702914
Privada com fins lucrativos:17.680277058196612:18.78891187159291:17.7241547889574
Privada com fins lucrativos:17.96412412109777:18.81924757355366:17.88709011939141
Privada com fins lucrativos:14.14107130882804:15.73901823505416:16.200442081485033
Privada com fins lucrativos:15.166723965290595:16.9317407563036:15.8714884690459
Privada sem fins lucrativos:17.646456514305523:18.024788737139403:16.827816280035986
Privada sem fins lucrativos:17.753766456263794:18.16916242151503:16.88676084727167
Privada sem fins lucrativos:17.80644746626701:18.279787027237177:17.05926568745822
Privada sem fins lucrativos:17.909367548509287:18.401499138602134:17.284854645304936
Privada com fins lucrativos:17.727124317462728:18.59262665163066:17.77907237627784
Privada com fins lucrativos:17.77265377121698:18.618760278664272:18.01480396301857
Privada com fins lucrativos:17.810523384120494:18.648482038081596:17.745067090579983
Privada com fins lucrativos:17.754359463199368:18.637743521256994:17.73397695051642
Privada sem fins lucrativos:18.636514937115358:19.251713100819778:18.562204075822038
Privada sem fins lucrativos:18.70284179821785:19.302788058444225:18.522255884840714
Privada sem fins lucrativos:18.696266542379085:19.257454385961736:18.475683954164083
Privada sem fins lucrativos:18.66827452320611:19.214249208523658:18.4275946823013
Privada sem fins lucrativos:17.167531309488645:18.12560209091765:17.338297914352655
Privada sem fins lucrativos:17.210813642001295:18.20977920165423:17.49271804694287
Privada sem fins lucrativos:17.255775099003753:18.296261780234957:17.572500552825854
Privada sem fins lucrativos:17.378020762252977:18.48764353747808:17.876107081899324
Privada sem fins lucrativos:14.859378910886953:15.203925850817496:14.413781965351669
Privada sem fins lucrativos:14.901884533041784:15.092002558579122:14.383387346819271
Privada sem fins lucrativos:14.792257882479928:14.96582083928521:14.174288896217373
Privada sem fins lucrativos:14.68159575730759:14.818134357494957:14.255841281333893
Especial:17.815594212187136:18.28331678739962:17.203300726939617
Privada sem fins lucrativos:17.858832706300372:18.364049487223042:17.374730326712875
Privada sem fins lucrativos:17.856478556949515:18.362017395100874:17.336970919012128
Privada sem fins lucrativos:17.73208205052324:18.25915985318938:17.236321796819073
Privada com fins lucrativos:18.49843915229194:19.193888010496384:18.053915174748237
Privada com fins lucrativos:18.50716098258799:19.307519640895368:18.262891491992864
Privada sem fins lucrativos:18.347899847736024:19.26014554236934:18.532688390464585
Privada sem fins lucrativos:15.901371451446293:16.380922808274384:15.913157987143256
Privada sem fins lucrativos:14.996130342844156:15.796489001738196:14.69426357948109
Privada sem fins lucrativos:16.492201821860444:17.046333846799904:16.191677208437287
Privada sem fins lucrativos:16.53461056646186:17.084259674112662:16.223516454798776
Privada sem fins lucrativos:16.53461056646186:17.084259674112662:16.223516454798776
Privada sem fins lucrativos:16.66717951812137:16.901057085442478:15.333438859872485
Privada com fins lucrativos:17.757390460810832:18.336818674828194:16.619890874922792
Privada com fins lucrativos:17.768766920395528:18.394955319775676:16.749258511230686
Privada com fins lucrativos:17.7990889225284:18.40312260351997:16.74386607787337
Privada com fins lucrativos:17.831940503561622:18.436536485473326:16.700664691590724
Privada sem fins lucrativos:18.84223853411698:19.56102785633736:18.271133051157285
Privada com fins lucrativos:18.84735011059947:19.512036186490327:18.319443300405492
Privada com fins lucrativos:18.814208629276227:19.534887312492785:18.573734862118442
Privada com fins lucrativos:18.810775112370138:19.499269813751763:18.568562069698608
Privada sem fins lucrativos:16.329469864933724:16.99568190354356:15.536181523902135
Privada sem fins lucrativos:16.109393496808412:12.79543834088505:16.549093278998512
Privada sem fins lucrativos:16.04102095936422:12.623253423053828:15.997855423878239
Privada sem fins lucrativos:15.972795043456397:12.650970559682948:15.919652517082072
Privada sem fins lucrativos:18.06906166228955:18.380191836764865:16.77239482126263
Privada sem fins lucrativos:18.13216071838258:18.44766632743064:16.87126788021489
Privada sem fins lucrativos:18.158012150201415:18.488828394153757:16.994679839298723
Privada sem fins lucrativos:18.198476166289385:18.494537589740787:16.950618847259406
Privada sem fins lucrativos:18.955141315168337:19.690682787771063:19.134424824084853
Privada sem fins lucrativos:19.04891142128184:19.786305048538594:19.156050883862896
Privada sem fins lucrativos:18.975485979540956:19.785803682630284:19.175039014934175
Privada sem fins lucrativos:19.117472876944888:19.833557301517956:19.2164893827445
